Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
General;Logitech;145;Auricular Logitech G332 leatherette ;;;42,90;10,50%;30,00%;25,00%;0,00;SI;59,26;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;Logitech;146;Auriculares Astro A20 ;;;74,36;10,50%;30,00%;25,00%;0,00;SI;102,71;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;MSI;125;FUENTE MSI MAG A750GF 750W 80+ GOLD MODULAR (USADO) ;;;30.165,91;21,00%;30,00%;300,00%;0,00;SI;146.003,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;MSI;129;GABINETE SHIELD X2 ;;;38,93;10,50%;30,00%;30,00%;0,00;SI;55,92;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;MSI;187;MSI A320M-A PRO MAX (USADO) ;;;38.784,74;10,50%;30,00%;40,00%;0,00;SI;59.999,99;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;MSI;186;MSI B450M PRO-VDH MAX ;;;81,96;10,50%;30,00%;25,00%;0,00;SI;113,21;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;MSI;185;MSI B450M-A PRO MAX II ;;;81,80;10,50%;30,00%;25,00%;0,00;SI;112,99;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;MSI;188;MSI MAG Z390 TOMAHAWK (USADO) ;;;77.569,49;10,50%;30,00%;40,00%;0,00;SI;120.000,00;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;209;NVIDIA MSI GT 1030 2GB GDDR4 (USADO) ;;;32.320,00;10,50%;30,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;211;NVIDIA MSI GT 1050TI GAMING X 4GB GDDR5 (USADO) ;;;58.177,12;10,50%;30,00%;40,00%;0,00;SI;90.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;236;NVIDIA MSI GTX 1660 SUPER GAMING X TWIN FROZR 6GB GDDR6 (USADO SIN CAJA) ;;;121.428,57;10,50%;30,00%;40,00%;0,00;SI;188.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;210;NVIDIA MSI GTX 750TI TWIN FROZN 2GB GDDR5 (USADO SIN CAJA) ;;;48.480,93;10,50%;30,00%;40,00%;0,00;SI;75.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;218;NVIDIA MSI RTX 2060 SUPER VENTUS GP EDITION 8GB GDDR6 (USADO SIN CAJA) ;;;141.402,71;10,50%;30,00%;60,00%;0,00;SI;249.999,99;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;219;NVIDIA MSI RTX 2060 SUPER VENTUS GP EDITION 8GB GDDR6 (USADO) ;;;147.058,82;10,50%;30,00%;60,00%;0,00;SI;259.999,99;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;216;NVIDIA MSI RTX 2060 VENTUS GP EDITION 6GB GDDR6 (USADO) ;;;147.058,82;10,50%;30,00%;40,00%;0,00;SI;227.499,99;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;225;NVIDIA MSI RTX 3060 TI GAMING Z TRIO 8GB GDDR6 (USADO SIN CAJA) ;;;192.307,69;10,50%;30,00%;60,00%;0,00;SI;340.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;224;NVIDIA MSI RTX 3060 TI VENTUS 2X 8GB GDDR6 (USADO) ;;;226.244,34;10,50%;30,00%;40,00%;0,00;SI;349.999,99;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;223;NVIDIA MSI RTX 3060 TI VENTUS 3X 8GB GDDR6 (USADO) ;;;192.307,69;10,50%;30,00%;60,00%;0,00;SI;340.000,00;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;222;NVIDIA MSI RTX 3060 VENTUS 3X 12GB GDDR6 (USADO) ;;;200.387,85;10,50%;30,00%;40,00%;0,00;SI;310.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;226;NVIDIA MSI RTX 3070 GAMING X TRIO 8GB GDDR6 (USADO) ;;;226.244,34;10,50%;30,00%;60,00%;0,00;SI;399.999,99;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;227;NVIDIA MSI RTX 3070 TI VENTUS 3X 8GB GDDR6X (USADO) ;;;290.885,59;10,50%;30,00%;40,00%;0,00;SI;450.000,01;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;252;NVIDIA MSI RTX 3070 VENTUS 3X 8GB GDDR6X (USADO) ;;;260.000,00;10,50%;30,00%;40,00%;0,00;SI;402.220,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;206;RADEON MSI GAMING X RX 5700 XT 8GB GDDR6 (USADO SIN CAJA) ;;;135.746,61;10,50%;30,00%;60,00%;0,00;SI;240.000,01;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;195;RADEON MSI RX 550 AERO ITX 2GB GDDR5 (USADO) ;;;32.320,62;10,50%;30,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;197;RADEON MSI RX 570 8GB ARMOR OC GDDR5 (USADO) ;;;77.569,49;10,50%;30,00%;40,00%;0,00;SI;120.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;MSI;201;RADEON MSI RX 580 8GB ARMOR MK2 GDDR5 (USADO) ;;;90.497,74;10,50%;30,00%;40,00%;0,00;SI;140.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Palit;221;NVIDIA PALIT RTX 2060 SUPER DUAL 8GB GDDR6 (USADO) ;;;149.321,27;10,50%;30,00%;60,00%;0,00;SI;264.000,01;$;6,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Palit;214;NVIDIA PALIT RTX 3050 DUAL 6GB GDDR6 (USADO) ;;;142.210,73;10,50%;30,00%;40,00%;0,00;SI;220.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Palit;228;NVIDIA PALIT RTX 3070 TI GAMEROCK 8GB GDDR6X (USADO) ;;;352.941,20;10,50%;30,00%;20,00%;0,00;SI;468.000,03;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
