"Codigo","Descripcion","lista3","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number" 
"214494","CPU AMD RYZEN 7 8700F AM5 65W 32MB BULK","214.22","A","10.5","0","6","4","36","89","001-0330","100-000001590"
"213066","CPU AMD RYZEN 7 8700G AM5 65W 32MB","303.8","A","10.5","0","1","3","31","89","001-0330","100-100001236BOX"
"214156","CPU AMD RYZEN 7 9700X AM5 65W 40MB SIN COOLER","403.19","A","10.5","2","0","0","11","89","001-0330","100-100001404WOF"
"212129","CPU AMD RYZEN 9 7950X3D AM5 120W 120MB SIN COOLER","721.37","A","10.5","0","0","1","0","89","001-0330","100-000000908WOF"
"214155","CPU AMD RYZEN 9 9900X AM5 120W 76MB SIN COOLER","505.09","A","10.5","0","0","0","2","89","001-0330","100-100000662WOF"
"214154","CPU AMD RYZEN 9 9950X AM5 170W 80MB SIN COOLER","731.38","A","10.5","0","0","0","2","89","001-0330","100-100001277WOF"
"213195","CPU COOLER ADATA XPG WATER LEVANTE X 240 ARGB","143.61","A","10.5","0","1","1","14","787","001-0332","LEVANTEX240-BKCWW"
"213196","CPU COOLER ADATA XPG WATER LEVANTE X 360 ARGB","183.51","A","10.5","0","1","0","0","787","001-0332","LEVANTEX360-BKCWW"
"49945","CPU COOLER AM4 PERFORMANCE ALUMINUM FAN","6.42","A","21","3","0","0","0","1","001-0332","AMDAM4"
"213278","CPU COOLER COOLER MASTER HYPER 212 HALO WHITE","52.84","A","21","19","5","1","62","115","001-0002","RR-S4WW-20PA-R1"
"214189","CPU COOLER COOLER MASTER HYPER 620S","52.65","A","21","0","0","0","0","115","001-0002","RR-D6NA-17PA-R1"
"214190","CPU COOLER COOLER MASTER MASTERAIR MA824 STEALTH","182.01","A","21","0","0","2","4","115","001-0002","MAM-D8PN-318PK-R1"
"214193","CPU COOLER COOLER MASTER MASTERLIQUID 240 ATMOS AR","154.66","A","10.5","2","0","1","54","115","001-0002","MLX-D24M-A25PZ-R1"
"213286","CPU COOLER COOLER MASTER MASTERLIQUID 240L ARGB WH","97.1","A","10.5","15","2","4","131","115","001-0002","MLW-D24M-A18PZ-RW"
"214194","CPU COOLER COOLER MASTER MASTERLIQUID 360 ATMOS AR","181.14","A","10.5","2","1","1","53","115","001-0002","MLX-D36M-A25PZ-R1"
"213289","CPU COOLER COOLER MASTER MASTERLIQUID ML240 ILLUSI","121.96","A","10.5","1","0","1","19","115","001-0002","MLX-D24M-A18P2-R1"
"213291","CPU COOLER COOLER MASTER MASTERLIQUID ML240 ILLUSI","134.49","A","10.5","2","0","1","5","115","001-0002","MLX-D24M-A18PW-R1"
"212735","CPU COOLER EVGA WATER CLCX 2 FAN 120MM ARGB","154.71","A","21","0","0","0","25","81","001-0002","400-HY-CX24-V1"
"212736","CPU COOLER EVGA WATER CLCX 2 FAN 140MM ARGB","167.76","A","21","0","0","0","1","81","001-0002","400-HY-CX28-V1"
"212737","CPU COOLER EVGA WATER CLCX 3 FAN 120MM ARGB","210.75","A","21","0","0","0","6","81","001-0002","400-HY-CX36-V1"
"39889","CPU COOLER GAMEMAX  WATER  ICECHILL120  RAINBOW","54.83","A","10.5","27","12","22","1382","148","001-0332","ICECHILL120"
"28888","CPU COOLER GAMEMAX  WATER  ICECHILL240 ARGB AIO","76.67","A","10.5","11","3","10","1127","148","001-0332","ICECHILL240"
"39836","CPU COOLER GAMEMAX GAMMA 200 ARGB **LINEA K-KF-X**","12.81","A","21","71","38","55","5055","148","001-0332","GAMMA 200"
"210248","CPU COOLER GAMEMAX GAMMA 300 ARGB **LINEA K-KF-X**","26.26","A","21","50","7","68","4987","148","001-0332","GAMMA 300 RAINBOW"
