Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Motherboards;Biostar;302;BIOSTAR AM4 B550MH 3.0 M-ATX DDR4 ;;;61,19;10,50%;30,00%;30,00%;0,00;SI;87,90;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Biostar;261;BIOSTAR S.1200 H510MHP 2.0 M-ATX DDR4 ;;;60,60;10,50%;30,00%;30,00%;0,00;SI;87,05;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;BRB;137;GABINETE BRB GENÉRICO (USADO) ;;;12.928,25;10,50%;30,00%;40,00%;0,00;SI;20.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Colorful;346;NVIDIA COLORFUL GTX 1660 BATTLE AX 6GB GDDR6 ;;;114.285,00;0,00%;30,00%;0,00%;165.000,00;SI;165.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Cooler Master;270;CPU COOLER COOLER MASTER HYPER 620S ;;;49,67;21,00%;30,00%;30,00%;0,00;SI;78,13;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;CoolerMaster;119;CPU COOLER COOLERMASTER HYPER H410R RGB (USADO) ;;;16.160,31;10,50%;30,00%;40,00%;0,00;SI;25.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;CoolerMaster;140;GABINETE COOLER MASTER Q300L V2 ;;;58,38;10,50%;30,00%;30,00%;0,00;SI;83,86;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Corsair;329;FUENTE 850W CORSAIR RM850X 80+ GOLD FULL MODULAR (USADO) ;;;50.000,00;0,00%;30,00%;0,00%;150.000,00;SI;150.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Corsair;330;RAM DDR4 16GB 3200MHZ CORSAIR VENGEANCE LED (2X8) (USADO) ;;;17.857,14;0,00%;30,00%;90,00%;0,00;SI;33.928,57;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Corsair;118;WATERCOOLER CORSAIR H45 (AM4) (USADO) ;;;32.320,62;21,00%;30,00%;40,00%;45.454,55;SI;55.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Corsair;117;WATERCOOLER CORSAIR ICUE H115i RGB PRO XT (AM4) ;;;138,85;21,00%;30,00%;25,00%;0,00;SI;210,01;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Cromax;139;GABINETE CROMAX GENÉRICO (USADO) SIN TAPA LATERAL ;;;9.696,19;10,50%;30,00%;40,00%;0,00;SI;15.000,01;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Crucial;344;RAM DDR4 4GB 2400MHZ CRUCIAL ;;;5.000,00;10,50%;30,00%;0,00%;6.787,33;SI;7.500,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Crucial;338;RAM DDR4 8GB 3200MHZ CRUCIAL KVR (USADO) ;;;15.000,00;0,00%;30,00%;40,00%;0,00;SI;21.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;EVGA;217;NVIDIA EVGA RTX 2060 OK ULTRA 6GB GDDR6 (USADO) ;;;142.210,73;10,50%;30,00%;40,00%;0,00;SI;220.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;EVGA;251;NVIDIA EVGA RTX 3070 TI XC3 8GB GDDR6 (USADO) ;;;300.000,00;10,50%;30,00%;40,00%;407.239,82;SI;450.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
